Generation,Mean,Best
1,16.64,26
2,20.96,26
3,24.82,32
4,27.64,32
5,28.9,34
6,31.74,36
7,32.7,36
8,33.96,36
9,35.04,39
10,35.82,40
11,37.88,40
12,38.54,40
13,38.12,40
14,39.32,42
15,40.08,43
16,40.44,43
17,41.0,43
18,41.98,43
19,42.4,43
20,42.14,44
21,42.62,44
22,42.54,44
23,42.3,44
24,42.98,44
25,42.92,44
26,43.0,44
27,43.4,44
28,43.02,45
29,43.6,45
30,42.94,45
31,44.1,45
32,44.12,45
33,43.88,45
34,44.26,45
35,43.44,45
36,44.64,46
37,44.6,46
38,44.6,46
39,43.96,46
40,44.86,46
41,45.12,46
42,44.78,46
43,44.98,46
44,44.82,46
45,45.24,46
46,45.48,46
47,44.32,46
48,44.34,46
49,45.34,47
50,45.14,47
51,44.68,47
52,45.04,47
53,45.9,47
54,46.48,47
55,45.96,47
56,46.36,47
57,46.1,47
58,45.54,47
59,45.74,47
60,46.42,47
61,45.4,47
62,45.96,47
63,45.6,47
64,45.2,47
65,45.34,47
66,45.64,47
67,45.78,47
68,44.72,47
69,45.94,47
70,45.56,47
71,44.64,47
72,44.68,47
73,46.42,47
74,45.84,47
75,46.3,47
76,46.0,47
77,45.0,48
78,45.4,48
79,45.46,48
80,46.7,49
81,47.06,49
82,47.88,50
83,48.52,50
84,48.2,50
85,48.52,52
86,48.36,52
87,48.6,52
88,48.12,52
89,49.76,52
90,51.3,52
91,50.62,54
92,51.52,54
93,51.84,54
94,52.28,56
95,52.78,56
96,52.24,56
97,53.72,56
98,53.36,56
99,54.6,56
100,54.64,56
101,55.56,56
102,54.76,56
103,53.62,56
104,54.28,56
105,54.32,56
106,54.28,56
107,54.56,56
108,54.6,56
109,54.6,56
110,53.6,56
111,54.14,56
112,54.58,56
113,54.5,56
114,54.78,56
115,54.3,56
116,54.52,56
117,53.64,56
118,54.06,56
119,54.34,56
120,54.08,56
121,54.58,56
122,54.68,56
123,55.42,56
124,54.12,56
125,54.4,56
126,54.56,56
127,54.42,56
128,54.14,56
129,54.24,56
130,53.62,56
131,53.38,56
132,53.9,56
133,55.22,56
134,54.82,56
135,54.06,56
136,55.3,56
137,54.86,56
138,54.04,56
139,55.2,56
140,54.52,56
141,54.54,56
142,54.16,56
143,54.9,56
144,53.98,56
145,54.12,56
146,53.6,56
147,55.28,56
148,55.36,56
149,54.34,56
150,54.82,56
151,55.24,56
152,53.92,56
153,54.86,56
154,54.12,56
155,54.8,56
156,54.62,56
157,54.96,56
158,53.9,56
159,55.16,56
160,54.92,56
161,54.84,56
162,54.38,56
163,54.7,56
164,54.2,56
165,54.9,56
166,54.34,56
167,55.08,56
168,54.2,56
169,55.08,56
170,54.72,56
171,54.54,56
172,54.76,56
173,54.52,56
174,55.06,56
175,53.92,56
176,54.98,56
177,55.14,56
178,54.44,56
179,54.42,56
180,54.68,56
181,53.96,56
182,54.1,56
183,54.5,56
184,52.86,56
185,54.62,56
186,54.4,56
187,54.66,56
188,54.92,56
189,54.32,56
190,53.92,56
191,54.1,56
192,53.0,56
193,53.58,56
194,54.34,56
195,54.0,56
196,55.0,56
197,54.96,56
198,55.14,56
199,54.88,56
200,54.24,56
201,53.92,56
202,54.2,56
203,54.42,56
204,54.56,56
205,54.5,56
206,54.8,56
207,54.64,57
208,55.52,57
209,54.3,58
210,55.58,58
211,55.52,58
212,54.94,58
213,56.5,59
214,55.46,59
215,55.92,59
216,56.04,59
217,56.38,59
218,57.5,59
219,57.64,60
220,58.36,60
221,58.16,60
222,58.68,60
223,57.28,60
224,58.02,60
225,57.5,60
226,57.8,60
227,58.34,60
228,57.96,60
229,57.22,60
230,58.48,60
231,57.68,60
232,58.92,60
233,58.72,60
234,58.88,60
235,58.6,60
236,59.06,60
237,59.34,60
238,58.18,60
239,58.36,60
240,57.76,60
241,58.84,60
242,57.86,60
243,57.42,60
244,57.48,60
245,57.94,60
246,57.94,60
247,56.26,60
248,58.86,60
249,57.7,60
250,58.7,60
251,58.46,60
252,58.2,60
253,59.08,60
254,58.46,60
255,59.28,60
256,59.0,60
257,58.02,60
258,58.48,60
259,58.34,60
260,57.56,60
261,58.58,60
262,57.9,60
263,57.04,60
264,58.8,60
265,58.66,60
266,59.04,60
267,57.9,60
268,57.08,60
269,57.46,60
270,58.56,60
271,56.5,60
272,56.76,60
273,57.26,60
274,58.62,60
275,57.96,60
276,58.2,60
277,58.0,60
278,58.18,60
279,58.06,60
280,57.88,60
281,58.04,60
282,57.8,60
283,58.56,60
284,58.6,60
285,57.0,60
286,57.5,60
287,57.52,60
288,57.54,60
289,58.36,60
290,56.5,60
291,58.6,60
292,57.5,60
293,57.7,60
294,57.46,60
295,58.88,60
296,57.88,60
297,58.92,60
298,58.68,60
299,58.32,60
300,58.42,60
301,58.24,60
302,58.32,60
303,58.3,60
304,58.36,60
305,57.46,60
306,57.84,60
307,57.52,60
308,57.82,60
309,58.44,60
310,57.14,60
311,58.16,60
312,59.16,60
313,58.78,60
314,57.98,60
315,57.94,60
316,58.12,60
317,58.42,60
318,58.04,60
319,58.2,60
320,59.14,60
321,57.16,60
322,57.2,60
323,57.58,60
324,57.22,60
325,59.12,60
326,58.94,60
327,58.1,60
328,57.18,60
329,58.32,60
330,57.94,60
331,58.16,60
332,57.78,60
333,58.46,60
334,57.44,60
335,57.9,60
336,58.82,60
337,58.46,60
338,58.34,60
339,58.34,60
340,58.26,60
341,58.04,60
342,57.94,60
343,58.82,60
344,58.36,60
345,57.24,60
346,58.14,60
347,58.58,60
348,58.92,60
349,56.98,60
350,56.98,60
351,57.66,60
352,57.38,60
353,58.22,60
354,58.62,60
355,58.28,60
356,58.24,60
